LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-11-28 16:28:41,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:42,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:42,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:42,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:42,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:42,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:43,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:43,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:43,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:43,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:44,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:44,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:44,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:45,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:45,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:45,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:45,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:45,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:46,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:46,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:46,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:46,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:46,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:47,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:47,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:47,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:47,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:47,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:48,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:48,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:48,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:48,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:49,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:49,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:49,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:49,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:49,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:50,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-28, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:50,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-29, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:50,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:50,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:51,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:51,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:51,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:51,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:51,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:52,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:52,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:52,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:53,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:53,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:53,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:53,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:53,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:54,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:54,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:54,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-28 16:28:54,1900-01-00 00:00:00,tapiboong,A4:12:32:F2:04:75,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
