LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-11-27 16:06:33,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-85,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,,EC:D0:9F:25:1C:64,-83,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:33,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-85,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,,EC:D0:9F:25:1C:64,-82,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:33,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:33,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-83,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:33,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-84,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:33,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-82,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:33,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:33,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-82,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-83,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-84,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-83,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-82,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-82,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-84,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-80,,0.000000,0.000000,0.000,0.000,Client
2020-11-27 16:06:34,1900-01-00 00:00:00,Android-RKP,EC:F0:FE:84:73:58,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-11-27 16:06:34,1900-01-00 00:00:00,,A0:AF:BD:A4:15:32,-81,,0.000000,0.000000,0.000,0.000,Client
